agent,n,mean_time_s,median_time_s,p90_time_s,mean_in_tokens,mean_out_tokens,correct_pct,input_tokens_per_correct,correct_per_100k_tokens,tokens_per_second
ReAct (GPT-5),523,227.5731739961759,212.79,360.14000000000004,66717.87762906309,10939.53154875717,0.5124282982791587,130199.44029850746,0.768052456836455,287.0069602228437
CC-Baseline,523,216.52705544933076,169.13,433.72600000000006,235913.57170172085,9513.290630975143,0.5181644359464627,455287.0774907749,0.21964163918539115,1139.177901147849
SADE,523,261.16479923518165,179.49,518.414,394846.2810707457,12867.478011472276,0.7304015296367112,540587.9712041885,0.18498376827964685,1810.294995488791
