agent,n,overall_mean,overall_std,final_mean,final_std,detection_mean,localization_f1_mean,rca_f1_mean,in_tokens_mean,in_tokens_median,out_tokens_mean,time_taken_mean,tool_calls_mean,no_submission_rate
ReAct (GPT-5),523,3.803059273422562,1.2569462974066243,3.2065009560229445,1.83500336514538,0.6845124282982792,0.5558156787762906,0.39802772466539194,66717.87762906309,54983.0,10939.53154875717,227.5731739961759,25.365200764818354,0.08795411089866156
CC-Baseline,523,3.931166347992352,1.199873866716883,3.298279158699809,1.811768917819351,0.6673040152963671,0.6802801147227534,0.5519443594646272,235913.57170172085,189144.0,9513.290630975143,216.52705544933076,26.695984703632888,0.15296367112810708
SADE,523,4.323135755258126,1.065291909845707,4.005736137667304,1.6557011638687686,0.8527724665391969,0.7761093690248566,0.766731739961759,394846.2810707457,343969.0,12867.478011472276,261.16479923518165,19.87189292543021,0.04206500956022945
